"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"FARNELL";"HEIGHT";"MANUFACTURER";"POWER";"PRICE_PER";"STOCK";"TEMP_CO";"TME";"TOLERANCE";"VALUE";"VOLTAGE";
"1";"1M";"CRCW06031M00FKEC";"0603";"R95";"1000000 ±1% 1M Thick Film 0.1W, 1/10W 0603";"541-2990-1-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"7867";"";"";"±1%";"1M";"";
"20";"1MM_TEST_POINT";"1MM_TEST_POINT";"1MM_TEST_PAD";"TP1, TP2, TP3, TP4, TP54, TP72, TP87, TP88, TP89, TP90, TP91, TP95, TP96, TP97, TP98, TP99, TP100, TP101, TP102, TP103";"A 1mm round pad for test purposes.";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k";"CRCW06031K00FKTA";"0603";"R45";"1000 ±1% 1k Thick Film 0.1W, 1/10W 0603";"541-2987-1-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.12000";"50500";"";"";"±1%";"1k";"";
"1";"1nF 50V";"CL10B102KB8NNNC";"0603";"C22";"1nF 50V X7R 10% 0603 MLCC.";"1276-1018-1-ND";"";"1";"";"";"0.08";"";"";"";"";"1nF 50V";"";
"14";"1uF 10V";"C0402C105K8PAC7411";"0402";"C88, C91, C92, C94, C95, C96, C97, C98, C99, C160, C161, C168, C169, C186";"1000000 10V 1µF ±10% X5R 0402";"399-C0402C105K8PAC7411CT-ND";"";"-";"KEMET";"";"0.09000";"35150";"X5R";"";"±10%";"1uF 10V";"10V";
"2";"1uF 10V";"C0603C105K8PAC7411";"0603";"C253, C254";"1000000 10V 1µF ±10% X5R 0603";"399-C0603C105K8PAC7411CT-ND";"";"-";"KEMET";"";"0.07000";"62495";"X5R";"";"±10%";"1uF 10V";"10V";
"6";"1uF 25V";"CL10A105KA8NNNC";"0603";"C33, C55, C56, C57, C154, C247";"1uF 25V X5R 10% 0603 MLCC.";"1276-1102-1-ND";"";"1";"";"";"0.08";"";"";"";"";"1uF 25V";"";
"4";"1uF 50V";"06035D105KAT2A";"0603";"C45, C143, C170, C258";"1000000 50V 1µF ±10% X5R 0603";"478-10067-1-ND";"";"-";"AVX Corporation";"";"0.45000";"627";"X5R";"";"±10%";"1uF 50V";"50V";
"1";"1uH ";"CIGT252010EH1R0MNE";"1008";"L3";"1 µH Unshielded Thin Film Inductor 4.1 A 30mOhm Max 1008 (2520 Metric) -";"1276-6929-1-ND";"";"1";"";"";"0.19";"";"";"";"";"1uH ";"";
"4";"2.2uF 10V";"0402ZD225KAT2A";"0402";"C87, C89, C93, C256";"2200000 10V 2.2µF ±10% X5R 0402";"478-10072-1-ND";"";"-";"AVX Corporation";"";"0.30000";"3790";"X5R";"";"±10%";"2.2uF 10V";"10V";
"4";"2.2uF 10V";"CL10A225KP8NNNC";"0603";"C46, C144, C184, C259";"2200000 10V 2.2µF ±10% X5R 0603";"1276-1085-1-ND";"";"-";"Samsung Electro-Mechanics";"";"0.07000";"1580888";"X5R";"";"±10%";"2.2uF 10V";"10V";
"3";"2.2uF 10V";"CL10B225KP8NFNC";"0603";"C145, C150, C248";"2200000 10V 2.2µF ±10% X7R 0603";"1276-2016-1-ND";"";"-";"Samsung Electro-Mechanics";"";"0.09000";"44920";"X7R";"";"±10%";"2.2uF 10V";"10V";
"19";"2.2uF 6.3V";"C0402C225K9PAC7867";"0402";"C73, C100, C101, C104, C105, C106, C107, C108, C113, C117, C122, C125, C155, C156, C196, C198, C200, C255, C260";"2200000 6.3V 2.2µF ±10% X5R 0402";"399-11617-1-ND";"";"-";"KEMET";"";"0.15000";"32394";"X5R";"";"±10%";"2.2uF 6.3V";"6.3V";
"1";"2.2uH 1.3A";"CIG22L2R2MNE";"2520";"L11";"2.2µH Shielded Multilayer Inductor 1.3A 80 mOhm 1008 (2520 Metric)";"1276-6211-1-ND";"";"1";"";"";"0.13";"";"";"";"";"2.2uH 1.3A";"";
"1";"20V TVS";"SMAJ20CA-E3/61";"DO214AC";"D2";"32.4V Clamp 12.3A Ipp Tvs Diode Surface Mount DO-214AC (SMA)";"SMAJ20CA-E3/61GICT-ND";"";"2.5";"";"";"0.29";"";"";"";"";"20V TVS";"";
"2";"20k";"ERJ3EKF2002V";"0603";"R30, R32";"20000 20k 0603 0.1W 1% thick film resistor.";"P20.0KHCT-ND";"";"";"";"";"0.10000";"";"";"";"";"20k";"";
"1";"2200pF 25V";"C0402C222J3GEC7411";"0402";"C166";"2200 25V 2200pF ±5% C0G, NP0 0402";"399-C0402C222J3GEC7411CT-ND";"";"-";"KEMET";"";"0.12000";"33455";"C0G, NP0";"";"±5%";"2200pF 25V";"25V";
"1";"22R";"EXB-38V220JV";"1206_ARRAY";"R96";"22 22R 1206 0.0625W 1% 4x RESISTOR ARRAY";"Y9220CT-ND";"";"0.4";"";"";"0.07";"";"";"";"";"22R";"";
"1";"22k";"ERJ3EKF2202V";"0603";"R58";"22000 22k 0603 0.1W 1% thick film resistor.";"P22.0KHCT-ND";"";"";"";"";"0.10000";"";"";"";"";"22k";"";
"7";"22uF 10V";"1206ZD226KAT2A";"1206";"C38, C44, C146, C148, C152, C249, C251";"22000000 10V 22µF ±10% X5R 1206";"478-12252-1-ND";"";"-";"AVX Corporation";"";"0.49000";"2000";"X5R";"";"±10%";"22uF 10V";"10V";
"10";"22uF 6.3V";"12066D226KAT2A";"1206";"C51, C52, C58, C59, C115, C119, C141, C142, C266, C269";"22000000 6.3V 22µF ±10% X5R 1206";"478-1576-1-ND";"";"-";"AVX Corporation";"";"0.39000";"1951";"X5R";"";"±10%";"22uF 6.3V";"6.3V";
"14";"22uF 6.3V";"C1206C226K9PACTU";"1206";"C8, C147, C149, C181, C182, C201, C202, C213, C214, C223, C229, C250, C252, C268";"22000000 6.3V 22µF ±10% X5R 1206";"399-3229-1-ND";"";"-";"KEMET";"";"0.42000";"10145";"X5R";"";"±10%";"22uF 6.3V";"6.3V";
"1";"25MHz";"TSX-322525.0000MF10P-C0";"3.2X2.5SMD";"XTAL1";"Crystal, 25 MHz, SMD, 3.2mm x 2.5mm, 30 ppm, 18 pF, 20 ppm, QC3CA Series";"SER4211CT-ND";"";"1";"";"";"0.29";"";"";"";"";"25MHz";"";
"1";"26.7k";"CRCW060326K7FKEB";"0603";"R85";"26700 ±1% 26.7k Thick Film 0.1W, 1/10W 0603";"541-CRCW060326K7FKEBCT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"19647";"";"";"±1%";"26.7k";"";
"1";"27.4k";"CRCW060327K4FKTA";"0603";"R72";"27400 ±1% 27.4k Thick Film 0.1W, 1/10W 0603";"541-CRCW060327K4FKTACT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.12000";"2192";"";"";"±1%";"27.4k";"";
"3";"2N7002";"2N7002P,215";"SOT23-3";"Q1, Q3, Q4";"N-Channel 60V 360mA (Ta) 350mW (Ta) Surface Mount TO-236AB (SOT23)";"1727-4692-1-ND";"";"1";"";"";"0.15";"";"";"";"";"2N7002";"";
"3";"2k";"CRCW06032K00FKTA";"0603";"R24, R46, R86";"2000 ±1% 2k Thick Film 0.1W, 1/10W 0603";"541-2995-1-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.12000";"6";"";"";"±1%";"2k";"";
"2";"3.3uH 3.3A";"SRN5040-3R3M";"SRN5040";"L6, L7";"BOURNS SRN5040-3R3M  Surface Mount Power Inductor, SRN5040 Series, 3.3 µH, ± 20%, Semishielded, 0.027 ohm, 3.3 A";"SRN5040-3R3MCT-ND";"";"4";"";"";"0.36";"";"";"";"";"3.3uH 3.3A";"";
"1";"3.9k";"CRCW06033K90FKEA";"0603";"R120";"3900 ±1% 3.9k Thick Film 0.1W, 1/10W 0603";"541-3.90KHCT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"5";"";"";"±1%";"3.9k";"";
"2";"30.1k";"CRCW060330K1FKEA";"0603";"R42, R47";"30100 ±1% 30.1k Thick Film 0.1W, 1/10W 0603";"541-30.1KHCT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"24850";"";"";"±1%";"30.1k";"";
"1";"31 PIN FPC";"3-1734839-1";"3-1734839-1";"CN6";"31 Position FPC Connector Contacts, Top 0.020" (0.50mm) Surface Mount, Right Angle";"A101346CT-ND";"";"2.05";"";"";"1.37";"";"";"";"";"31 PIN FPC";"";
"1";"33MHz";"KC2016Z33.0000C15XXK";"KC2016Z";"OSC1";"33 MHz XO (Standard) CMOS Oscillator 1.71V ~ 3.63V Standby (Power Down) 4-SMD, No Lead";"478-KC2016Z33.0000C15XXKCT-ND";"";"0.8";"";"";"0.98";"";"";"";"";"33MHz";"";
"4";"33R";"ERJ3EKF33R0V";"0603";"R33, R34, R37, R38";"33 33R 0603 0.1W 1% thick film resistor.";"P33.0HCT-ND";"";"";"";"";"0.10000";"";"";"";"";"33R";"";
"3";"33k";"CRCW060333K0FKEA";"0603";"R51, R55, R76";"33000 33k0 0603 0.1W 1% thick film resistor.";"";"1469801";"0.5";"";"";"0.0078";"";"";"";"";"33k";"";
"1";"33k";"ERJ3EKF3302V";"0603";"R31";"33000 33k 0603 0.1W 1% thick film resistor.";"P33.0KHCT-ND";"";"";"";"";"0.10000";"";"";"";"";"33k";"";
"1";"36k";"CRCW060336K0FKEA";"0603";"R18";"36000 ±1% 36k Thick Film 0.1W, 1/10W 0603";"541-36.0KHCT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"961";"";"";"±1%";"36k";"";
"2";"4.7k";"ERJ-2RHD4701X";"0402";"R109, R110";"4700 4k7 0402 0.1W 1% thick film resistor.";"ERJ-2RHD4701X-ND";"";"0.4";"";"";"0.07";"";"";"";"";"4.7k";"";
"10";"4.7uF 10V";"CL10A475KP8NNNC";"0603";"C12, C14, C18, C36, C63, C65, C69, C71, C130, C132";"4700000 10V 4.7µF ±10% X5R 0603";"1276-1044-1-ND";"";"-";"Samsung Electro-Mechanics";"";"0.07000";"606937";"X5R";"";"±10%";"4.7uF 10V";"10V";
"33";"4.7uF 6.3V";"04026D475KAT2A";"0402";"C1, C3, C5, C7, C61, C66, C68, C78, C80, C109, C126, C127, C128, C172, C174, C176, C178, C180, C188, C190, C192, C194, C204, C206, C208, C210, C212, C222, C225, C227, C231, C233, C235";"4700000 6.3V 4.7µF ±10% X5R 0402";"478-10669-1-ND";"";"-";"AVX Corporation";"";"0.26000";"39486";"X5R";"";"±10%";"4.7uF 6.3V";"6.3V";
"1";"4.7uF 6.3V";"06036D475KAT4A";"0603";"C90";"4700000 6.3V 4.7µF ±10% X5R 0603";"478-10813-1-ND";"";"-";"AVX Corporation";"";"0.12000";"63871";"X5R";"";"±10%";"4.7uF 6.3V";"6.3V";
"1";"4.7uF 6.3V";"GRM188R60J475ME19D";"0603";"C219";"4.7uF 6.3V X5R 10% 0603 MLCC.";"";"2362095";"1";"";"";"0.0414";"";"";"";"";"4.7uF 6.3V";"";
"1";"4.7uH";"SRN6045TA-4R7M";"SRN6045";"L5";"Surface Mount Power Inductor, AEC-Q200, SRN6045TA Series, 4.7 µH, 4.5 A, 6.8 A, Semishielded";"SRN6045TA-4R7MCT-ND";"";"5";"";"";"0.44";"";"";"";"";"4.7uH";"";
"1";"4.7uH";"SRP1265C-4R7M";"SRP1265A";"L1";"4.7 µH Shielded Inductor 20 A 9.5mOhm Max Nonstandard";"";"118-SRP1265C-4R7MCT-ND";"6.5";"";"";"1.21";"";"";"";"";"4.7uH";"";
"2";"47nF 16V";"CL10B473KO8NNNC";"0603";"C37, C39";"47nF 16V X7R 10% 0603 MLCC.";"1276-2079-1-ND";"";"1";"";"";"0.08";"";"";"";"";"47nF 16V";"";
"4";"47uF 25V";"C3216X5R1E476M160AC";"1206";"C21, C26, C42, C43";"47uF 25V X5R 10% 1206 MLCC";"445-8047-1-ND";"";"1.8";"";"";"1.00";"";"";"";"";"47uF 25V";"";
"1";"50 PIN 0.5MM ";"FH52E-50S-0.5SH";"FH52E-50S-0.5SH";"CN1";"50 Position FFC, FPC Connector Contacts, Bottom 0.020" (0.50mm) Surface Mount, Right Angle";"H124735DKR-ND";"";"2";"";"";"4.28";"";"";"";"";"50 PIN 0.5MM ";"";
